stt,tp,c1,c2a1,c2a2,c2a3,c2a4,c2a5,c2a6,c2a7,c2a8,c2a9,c2b1,c2b2,c2b3,c2c1,c2c2,c2c3,c2c4,c2c5,c2c6,c2d1,c2d2,c2d3,c2d4,c2d5,c2d6,c3,c4.1,c4.2,c5.1,c5.2,c6.1,c6.2,c7,c8,c10,c11.1,c11.2,c12,c13,c14,c15,c16.1,c16.2,c16.3,c16.4,c16.5,c16.6,c16.7,c16.8,c16.9,c16.10,c16.11,c17.1,c17.2,c17.3,c17.4,c17.5,c18,c19.1,c19.2,c19.3,c20.1,c20.2,c20.3,c21,c22.1,c22.2,c22.3,c23a,c23b,c24a,c24b,c25,c26.1,c26.2,c26.3,c27,c28,c29a1,c29a2,c29a3,c29a4,c29a5,c29a6,c29a7,c29b1,c29b2,c29b3,c29b4,c29b5,c29b6,c29c,c30a1,c30a2,c30a3,c30a4,c30a5,c30b1,c30b2,c30b3,c30b4,c30c1,c30c2,c30c3,c30c4,c30c5,c30d1,c30d2,c31.1,c31.2,c32.a1,c32.a2,c32.a3,c32.b1,c32.b2,c32.b3,c33.1,c33.2,c33.3,c34.1,c34.2,c34.3,c35.1,c35.2,c35.3,c36.1,c36.2,c36.3,c36.4,c36.5,c36.6,c36.7,c36.8,c36.9,c36.10,c36.11,c36.12,c37.1,c37.2,c37.3,c37.4,c37.5,tuoi,sonk,gtinh,tncn,tngd,hocvan,nghe,W.TP,hocvan4n
11,1,3,1,8,12,13,14,16,19, , ,1,13,16,1,8,13,16, , ,3,3,3,3, , ,4,1, ,3, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,7,6,4,7,5,5,4,5,6,1,3,4,14,17,25,6,1,3,4,5,3,0.67,4
12,1,3,8,14,17, , , , , , ,8, , ,8,14,17, , , ,3,3,3, , , ,3,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,7,7,5,7,5,4,4,5,5,1,3,13,16, ,45,4,2,3,3,3,6,0.67,2
13,1,3,5,6,16, , , , , , ,16, , ,5,6,16, , , ,3,3,3, , , ,4,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,4,7,4,7,5,5,4,4,5,7,1,3,4,13, ,49,4,2,3,2,3,7,0.67,2
14,1,3,13,16,17, , , , , , ,13, , ,13,16,17, , , ,3,3,3, , , ,2,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,7,7,6,5,7,4,4,7,6,7,1,3,11,13,15,24,4,2,3,3,5,3,0.67,4
15,1,3,12,16,17,19, , , , , ,16,17,19,12,17,19, , , ,2,2,2, , , ,4,1, ,3, ,2,2,2,2,2, , ,4,4,3,2,4,8,10,19,20, , , , , , ,10, , , , ,20,1,2,3,2, , ,2,1, , ,4,4, , ,3,1, , ,1,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,4,10,20, , ,21, , , ,4, , , , ,21, , , ,3, , , , , ,3, , ,1, , ,3, , ,6,7,7,7,7,7,7,7,7,7,7,7,1,3,11,17,22,25,5,1,1,2,4,10,0.67,3
16,1,3,1,4,8,16,17,19, , , ,1,17,19,1,4,8,16,17, ,2,2,2,2,2, ,3,1, ,1,3,2,3,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,5,7,6,5,5,6,6,7,5,6,1,3,13,16,20,36,4,1,3,3,5,1,0.67,4
17,1,3,1,6,15,16,17, , , , ,1,16,17,1,6,15,16,17, ,2,3,3,2,2, ,3,1,2,3, ,2,4,2,5,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,4,5,7,6,6,5,7,5,7,6,3,5,13,15,21,43,4,1,4,4,5,5,0.67,4
18,1,3,1,7,12,16,17,19, , , ,12,17,19,1,7,12,17,19, ,3,3,3,3,3, ,3,3, ,3, ,2,1,1, ,2, , ,2,4,2,2,1,5,10,15,19, , , , , , ,5,10,19, , ,21,1,3,2,2,3, ,2,1,4, ,2,2, , ,2,2, , ,2,4,4,8,5,3,4,4,5,4,8,5,8,4,5,5,21, , , , ,21, , , ,21, , , , ,21, , , , , , , , , , , , ,1, , ,4, , ,7,5,6,3,5,6,6,5,7,7,6,5,1,3,7,14,21,38,4,1,3,3,5,6,0.67,4
19,1,3,1,3,8,13,17, , , , ,8,13,17,1,3,8,13,17, ,3,3,3,3,3, ,4,1, ,3, ,2,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,4,6,6,5,7,7,6,4,5,6,3,7,13,15,19,21,5,2,1,2,5,12,0.67,4
20,1,3,1,16,17,19, , , , , ,17,19, ,1,16,17,19, , ,3,3,3,3, , ,4,1,2,3, ,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,6,7,4,7,5,6,7,7,5,1,3,5,15,21,38,5,1,2,3,5,1,0.67,4
21,1,4,1,3,8,10,16,17,19, , ,1,16,17,16,17,19, , , ,2,2,2, , , ,2,1,2,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,6,5,6,5,7,4,6,6,7,5,2,13,17,21, ,27,3,1,2,2,3,14,0.67,2
22,1,3,1,7,17,19, , , , , ,1,17,19,1,7,17,19, , ,3,3,3,3, , ,4,1, ,3,4,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,7,5,6,6,5,7,5,6,6,5,4,1,3,12,13,21,32,5,1,2,1,3,8,0.67,2
23,1,3,1,3,8,10,17, , , , ,3,8,17,1,3,8,10,17, ,3,3,3,3,3, ,4,1,3,3, ,3,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,7,6,4,7,6,5,7,6,5,1,3,5,13,19,45,4,2,2,2,5,6,0.67,4
24,1,3,1,3,7,16,17,19, , , ,1,17,19,1,3,7,16,17, ,3,3,3,3,3, ,5,1,3,3, ,2,2,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,5,6,5,5,7,6,6,7,6,4,1,3,7,14,20,25,5,2,2,2,5,7,0.67,4
25,1,3,1,4,6,16,19, , , , ,1,4,6,6,16,19, , , ,3,3,3, , , ,3,1, ,3, ,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,4,6,7,5,7,4,6,6,6,5,1,4,13,16,19,27,4,2,2,2,5,8,0.67,4
26,1,4,1,8,13,16,17,19, , , ,13,19, ,13,17,19, , , ,2,2,4, , , ,3,1,4,3, ,3,3,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,4,7,6,5,7,5,4,4,6,3,1,3,7,13,22,19,4,2,1,1,4,10,0.67,3
27,1,3,1,3,5,16,17,19, , , ,16,19, ,1,16,19, , , ,1,2,2, , , ,3,1, ,3, ,2,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,5,7,5,4,6,5,7,6,5,6,1,3,7,13,15,22,3,1,1,1,4,10,0.67,3
28,1,3,1,3,5,10,12,16,17, , ,12,16,17,12,16,17, , , ,1,1,1, , , ,2,1,2,1,3,2,2,1, ,2, , , ,3,3,2,5,6,9,11,15,17, , , , , ,5,11,15,17,20,5,2,1,3,2, , ,2,1, , ,2,1, , ,2,1, , ,3,3,8,3,4,8,4,8,8,8,8,8,3,8,8,8,5,20, , , ,2, , , ,7,20, , , ,21, , , , , , , , , , , , , , , , , , ,5,7,6,7,7,6,7,7,7,7,7,5,1,2,3,22, ,24,4,2,2,2,5,3,0.67,4
29,1,3,1,12,16,17, , , , , ,16,17, ,1,12,16,17, , ,4,4,4,4, , ,5,1,4,3, ,3,2,2,6,2, , ,4,4,2,3,5,8,10,17, , , , , , , ,10, , , , ,21,3,2,1,1, , ,3,5, , , , , , ,3,4, , ,6,2,3,4,8,8,8,3,8,4,3,5,3,3,4,3,10, , , , ,21, , , ,21, , , , ,21, , , ,1, , , , , ,3, , , , , , , , ,5,6,5,7,6,4,7,5,3,6,5,3,3,10,13,17,21,19,5,1,2,1,3,9,0.67,2
30,1,4,2,4,8,10,11,12,16,17,19,8,11,17,4,17, , , , ,2,2, , , , ,4,1, ,3, ,1,2,2,4,3, , ,4,2,2,2,1,3,5,8,9,13,17,19, , , ,5,8,9,17,19,21,3,1,2,1,2, ,1,1,5, ,4,3, , ,2,1,6, ,4,4,3,3,4,8,5,5,8,4,8,5,3,3,4,4,5,8,19, , ,10, , , ,21, , , , ,21, , , , , , , , , , , , ,1, , ,4, , ,6,6,5,6,7,4,5,4,6,7,5,4,1,3,13,16,22,49,4,2,2,2,5,5,0.67,4
31,1,3,3,5,8,10,12,16,19, , ,8,16,19,8,16, , , , ,3,3, , , , ,5,1,2,1,3,4,4,2,6,2, , ,1,3,3,4,2,3,4,7,17,19, , , , , ,19, , , , ,3,1,3,2,2, , ,1,1, , ,4,2,10,10,2,1,2, ,4,4,3,4,8,3,4,3,2,4,8,3,3,2,3,3,17, , , , ,21, , , ,5,19, , , ,21, , , , , , , , , , , , , , , , , , ,5,7,4,7,7,4,7,6,6,7,6,5,1,3,5,15,16,47,5,2,3,2,6,1,0.67,4
32,1,4,1,8,13,17, , , , , ,17,19, ,1,13,17,19, , ,2,2,2,2, , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,7,7,6,7,6,7,7,7,6,1,2,3,13,22,33,4,2,2,2,3,3,0.67,2
33,1,3,3,7,17,19, , , , , ,17, , ,3,7,17,19, , ,2,2,2,2, , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,6,5,7,7,6,7,6,5,6,1,3,21, , ,27,3,1,3,2,3,5,0.67,2
34,1,3,1,8,17,19, , , , , ,17, , ,1,8,17,19, , ,5,5,5,5, , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,6,7,5,6,5,6,6,5,6,1,3,13,22, ,43,3,2,2,2,3,9,0.67,2
35,1,4,1,16,17,19, , , , , ,17, , ,1,16,17,19, , ,2,2,2,2, , ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,7,5,7,6,5,7,7,6,6,1,3,7,17,21,29,4,1,3,2,5,2,0.67,4
36,1,4,8,14,17, , , , , , ,14, , ,8,17, , , , ,2,2, , , , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,7,5,7,7,5,7,6,5,6,1,3,5,13, ,24,4,2,3,2,3,5,0.67,2
37,1,4,1,16,17,19, , , , , ,17, , ,1,16,17,19, , ,2,2,2,2, , ,1,1, ,4, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,5,6,6,5,7,6,5,7,1,3,13, , ,30,1,1,3,1,3,8,0.67,2
38,1,3,15,16,17,19, , , , , ,19, , ,15,16,17,19, , ,5,5,5,5, , ,1,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,6,5,6,7,7,5,7,5,6,1,3,17, , ,30,1,1,3,1,3,5,0.67,2
39,1,3,5,8,17,19, , , , , ,8,17, ,5,8,17,19, , ,3,3,3,3, , ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,7,7,5,7,5,5,7,7,5,1,3,14, , ,59,5,2,2,2,2,14,0.67,1
40,1,3,1,17,19, , , , , , ,19, , ,1,17,19, , , ,5,5,5, , , ,3,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,6,7,5,7,5,5,6,5,5,1,3, , , ,56,5,1,2,2,3,6,0.67,2
41,1,3,16,19, , , , , , , ,19, , ,16,19, , , , ,3,3, , , , ,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,4,7,7,7,7,7,7,4,3,8,13,14, ,22,3,1,1,2,4,10,0.67,3
42,1,3,1,7,8,16,17,19, , , ,1,16, ,1,7,8,16,17, ,5,5,5,5,5, ,2,1,4,3, ,2,4,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,7,6,7,6,7,7,6,7,7,6,1,3,5,13,22,23,4,2,1,1,3,10,0.67,2
43,1,3,13,14,15,17, , , , , ,13,15, ,13,14,15,17, , ,3,3,3,3, , ,3,1, ,3, ,2,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,7,7,7,7,7,7,6,5,1,3,10,15,17,22,4,2,1,4,4,10,0.67,3
44,1,4,5,15,16,17,18,19, , , ,19, , ,5,15,16,17,19, ,5,5,5,5,5, ,1,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,7,5,7,7,6,5,7,6,7,1,3,21, , ,30,3,1,3,2,3,7,0.67,2
45,1,4,3,5,16,17,19, , , , ,3,16, ,3,5,16,17,19, ,5,5,5,5,5, ,2,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,5,7,7,7,7,5,7,7,7,5,1,3,13,23, ,52,4,2,2,2,4,11,0.67,3
46,1,4,1,3,5,7,8,12,13,15,17,8,13,17,1,3,8,12,13, ,2,2,2,2,2, ,1,1,2,3, ,1,1,1, ,2, , , ,3,1,1,1,5,6,7,8,9,13,15,17,19,20,1,5,6,7,17,19,3,1,2,1,2, ,2,1, , ,1,1,3,3,2,2,5, ,1,4,3,3,4,3,3,4,2,2,3,3,4,3,4,3,1,6,7,8,15,2,18, , ,9, , , , ,19, , , ,1, , ,1, , ,4, , ,1, , ,4, , ,1,4,4,6,7,5,7,7,6,7,7,4,3,15,18,19,22,30,1,2,2,1,3,13,0.67,2
47,1,3, ,15,17, , , , , , , ,17, , ,15,17, , , ,1,5,3, , , ,4,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,5,6,6,7,5,5,7,4,4,1,3,13,18, ,50,4,2,4,3,4,4,0.67,3
48,1,3,1,13,19, , , , , , ,1,13, ,1,13,19, , , ,3,3,3, , , ,1,1,3,3, ,4,4,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,7,7,4,7,7,7,5,3,3,1,2,3,7,20,30,1,1,4,2,5,3,0.67,4
49,1,3,7,13,16,17,19, , , , ,13,19, ,7,8,10,13,16,17,3,3,1,3,5,5,5,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,5,5,5,7,4,6,6,5,4,1,3,6,9,17,25,5,2,3,3,4,5,0.67,3
50,1,3,10,15,16,17,19, , , , ,10,17, ,10,15,16,17,19, ,3,3,3,3,3, ,1,1,3,2,3,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,4,7,7,7,7,5,5,6,4,4,1,3,13, , ,40,1,1,5,3,5,6,0.67,4
51,1,3,6,8,17,19, , , , , ,17, , ,6,8,17,19, , ,3,3,3,1, , ,4,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,4,7,7,4,7,7,7,5,6,6,1,3,13, , ,45,4,1,2,1,4,9,0.67,3
52,1,3,8,13,16,17,19, , , , ,16, , ,8,13,16,17,19, ,5,5,5,5,1, ,3,3, ,3, ,1,1,2,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,4,6,7,5,7,6,7,4,3,4,1,15,19, , ,32,3,2,3,2,3,7,0.67,2
53,1,4,13,15,16,17,19, , , , ,13,17, ,13,15,16,17,19, ,3,5,3,3,3, ,4,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,7,4,7,4,6,7,7,4,1,3, , , ,43,4,2,4,3,5,6,0.67,4
